pseudo_id,tempo,valence,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,track_id
134,100.1,0.914,0.89,0.302,0.634,0.0,0.0616,-5.761,0.0299,00gqmd4AWQxzwCHIr3evjw
135,180.043,0.655,0.601,0.0702,0.75,0.0,0.554,-6.585,0.42,00h12tbjC9Aa5uEuq9HrgO
136,79.521,0.387,0.455,0.0232,0.837,5.51e-05,0.112,-5.179,0.0543,00h32OTWBwcKSogvu1G2ZB
137,171.341,0.551,0.332,0.000324,0.837,0.0,0.164,-3.437,0.038,00h6syYCxPKVsInPHXhdZ1
138,100.059,0.0388,0.167,0.012,0.399,0.873,0.264,-7.798,0.0303,00hO26UwCgpDmViG6crrnm
139,169.038,0.469,0.521,0.377,0.616,5.85e-06,0.11,-6.11,0.0288,00hTw7P6jPUio5Qgojw38w
140,89.932,0.508,0.505,0.722,0.885,0.0,0.909,-6.796,0.853,00hVcKODz4Ch9gj0zWEz6M
141,136.904,0.487,0.48,0.00479,0.93,0.104,0.161,-5.985,0.0385,00hgtJwONC7jG6X0GUMXvv
142,81.004,0.603,0.706,0.167,0.631,4.91e-06,0.155,-4.292,0.0381,00hh0NPClA0PJetfwn4k5R
143,126.043,0.381,0.726,0.0576,0.793,3.24e-06,0.0526,-4.875,0.157,00hlIlc6Ezzm0KABuxulgW
144,142.006,0.946,0.725,0.0344,0.903,0.0,0.183,-2.955,0.0658,00i0O74dXdaKKdCrqHnfXm
145,124.036,0.496,0.497,0.0363,0.922,0.0,0.0702,-4.674,0.139,00iCRJ7pk3onHablkLyVH1
146,185.156,0.459,0.329,0.0829,0.574,0.0,0.962,-7.327,0.0302,00j7NgyKytDYlBEpIv4QPQ
147,173.008,0.227,0.577,0.00155,0.706,0.446,0.0853,-8.697,0.0456,00jd79CdpyUtCow5cx7P6R
148,131.322,0.429,0.353,0.642,0.466,5.75e-06,0.718,-9.363,0.0521,00jpfzztJgSupflbzmH3T1
149,159.982,0.533,0.795,0.108,0.982,0.00811,0.526,-0.737,0.191,00k4IcdhoUtt3fBATrDyhh
150,175.548,0.346,0.393,0.664,0.418,5.46e-05,0.108,-8.976,0.0269,00kIWJu9IHiQ6i0qJAU0Z9
151,175.931,0.728,0.502,0.0109,0.762,0.0,0.0641,-6.3,0.0522,00kWGi3KI7xqeVpC6Kkaqt
152,88.968,0.0357,0.0999,0.851,0.0763,0.722,0.0817,-22.557,0.035,00l9KCQeplWA4aGZWCyfes
153,119.997,0.0623,0.655,0.0118,0.638,0.89,0.0325,-10.314,0.0436,00lMz2LLP4tTBK1EQs5fSZ
154,95.443,0.87,0.693,0.0592,0.753,0.866,0.0566,-7.698,0.0599,00lz7Upb0bJLdFEjieRNb5
155,80.233,0.802,0.659,0.254,0.652,0.0,0.215,-5.422,0.196,00m2M7qkAZ69bazdXVx99z
156,155.985,0.271,0.518,0.0851,0.762,0.0,0.148,-3.907,0.0305,00mBzIWv5gHOYxwuEJXjOG
157,132.817,0.676,0.514,0.583,0.576,0.779,0.108,-9.429,0.0313,00mX5OzWnm7mpo8le5hcxl
158,93.688,0.637,0.654,0.573,0.818,0.0,0.0476,-7.425,0.582,00mysNHejF7KdBNhdopXpQ
159,128.023,0.362,0.775,0.787,0.616,1.24e-05,0.107,-7.292,0.116,00nxCCaqx2UF2d6w2tb9PC
160,97.435,0.246,0.766,0.281,0.434,0.0,0.318,-6.186,0.0642,00oQl8RFiv7dYavRx3U9IA
161,76.082,0.314,0.361,0.0111,0.793,0.0,0.223,-2.008,0.0507,00ogmsZiK6dB0QVUDBeehZ
162,77.625,0.183,0.146,0.978,0.183,0.936,0.123,-26.235,0.049,00omBVEASwCIMq5vXHD2ie
163,85.031,0.736,0.896,0.018,0.727,7.72e-05,0.443,-8.109,0.147,00ooUMfzuVRhD1w9fnQhAZ
164,155.996,0.508,0.587,0.00583,0.898,0.294,0.241,-12.426,0.0507,00p3wMZcWloGsEGvBRcmuK
165,135.921,0.409,0.748,0.742,0.219,0.0,0.0663,-13.729,0.0963,00pLvXMdSXJG8HLliuWTWt
166,128.611,0.0939,0.308,0.976,0.148,0.252,0.072,-18.581,0.0427,00qJCrBeIkCWog7b2zRp69
167,88.182,0.302,0.45,0.227,0.684,0.0,0.649,-6.714,0.0443,00rBZrXRiVFTq21bksu4Xd
168,75.523,0.866,0.821,0.0471,0.791,0.0,0.0693,-7.672,0.154,00rZbQ8sYG1AuXpGjmOpho
169,135.11,0.975,0.624,0.41,0.458,0.0,0.137,-12.664,0.0473,00rmsjfesXsyNfQJpGKm98
170,88.009,0.819,0.835,0.0708,0.757,0.0,0.184,-4.851,0.157,00rsJA8H0HO6NxWsT6ISCg
171,69.413,0.893,0.507,0.558,0.853,0.0,0.253,-3.59,0.0481,00s11tE8e8PVuVj9luoJQN
172,130.023,0.559,0.685,0.253,0.555,0.0,0.126,-9.185,0.0298,00sBZrZvJmsrtIjXK0vsh3
173,136.203,0.968,0.823,0.237,0.394,1.35e-06,0.0686,-9.373,0.0394,00sFLCbAGFeknTHUv9MTse
174,150.048,0.478,0.644,0.00765,0.706,0.00392,0.322,-5.272,0.0289,00sJbK3XvDlQ1wnsWGEqVD
175,148.748,0.318,0.504,0.28,0.794,1.69e-05,0.121,-7.238,0.192,00sWbC0UVmFd0x0q3alDnK
176,150.251,0.267,0.425,0.157,0.782,1.38e-06,0.283,-6.181,0.509,00sdTydRkPM9HI4KxkQxRy
177,117.554,0.27,0.685,0.0106,0.793,0.0,0.107,-2.704,0.0364,00tvWsRBuRwQ33Aq7uZPos
178,178.132,0.964,0.596,0.241,0.836,9.08e-05,0.343,-10.267,0.121,00uBikdwYaPGhWdsZxulx9
179,103.996,0.596,0.733,0.112,0.7,1.67e-06,0.221,-5.83,0.071,00ueQGOP5Tbp0sjOCtDrA8
180,88.128,0.102,0.625,0.653,0.174,0.823,0.116,-14.096,0.0314,00vImTQe13pqjF5AEFjcoK
181,119.977,0.298,0.704,0.00138,0.827,0.0124,0.0719,-6.267,0.0327,00vUrusmasV9tsjBJqYtBI
182,129.788,0.576,0.656,0.0301,0.788,0.0,0.205,-5.754,0.145,00wBRJMvirudkGVbU3t2bm
183,125.251,0.749,0.553,0.789,0.729,0.0,0.0586,-10.778,0.0434,00wU6YKnzNlavZ1TPpLUlp
184,110.15,0.281,0.518,0.879,0.197,6.97e-05,0.115,-12.698,0.0413,00wWSS82pM5L0CZGU1rYIC
185,135.026,0.224,0.382,0.012,0.819,2.58e-05,0.2,-4.763,0.0495,00wx4uDQOlYl9dphJXCWcB
186,123.878,0.486,0.69,0.102,0.589,0.0,0.039,-9.129,0.32,00x1Stu0FrYELVDpmCMRUm
187,85.061,0.47,0.533,0.169,0.643,0.0,0.188,-7.593,0.0413,00xBJ1IJSkErFWuuHxLPoP
188,104.977,0.344,0.686,0.69,0.688,0.73,0.12,-15.666,0.0627,00xROqagTXvH2PZKrGoYEB
189,100.988,0.348,0.783,0.0501,0.849,0.0,0.311,-8.088,0.105,00xYAFzdikA6wVUnr2FzXZ
190,88.983,0.23,0.651,0.774,0.414,0.000478,0.122,-5.754,0.031,00xjXIoyDIQYSYve03VsXf
191,92.095,0.308,0.635,0.0204,0.694,0.0,0.173,-5.747,0.174,00yKAtlfQbe5s6z8iHwWqb
192,119.308,0.528,0.439,0.00334,0.712,0.0,0.0819,-5.162,0.0561,00yQl6VP2oHUqnrhAXEKoW
193,114.117,0.785,0.708,0.539,0.862,0.0,0.11,-6.072,0.0929,00ylpioXq9EFFUbI7gay05
194,84.016,0.766,0.464,0.264,0.912,0.0,0.0312,-3.125,0.354,00yqqKgbsnKosZ3hndFaVV
195,116.93,0.893,0.737,0.0936,0.818,0.0,0.0577,-2.892,0.0492,00z4wF0iJsp6GwDkQxkGs6
196,123.049,0.616,0.684,0.146,0.669,1.28e-05,0.112,-5.95,0.0335,00zncqXDgegVEncnEosjCs
197,107.586,0.42,0.774,0.778,0.331,2.82e-06,0.104,-9.856,0.0657,010EVa2zhnPJlxHYXoETt1
198,124.056,0.626,0.543,0.000206,0.937,0.0301,0.112,-4.608,0.073,010zNby24HBoMyMZClgViJ
199,170.016,0.846,0.581,0.0253,0.719,0.0,0.212,-4.282,0.0317,011Dg8Hkelamb0hAuaijWd
200,118.036,0.525,0.898,0.185,0.668,0.0,0.259,-5.024,0.179,011Y5Pvrtt2rHLcYdqcJ2d
201,138.008,0.965,0.721,0.205,0.681,0.0,0.0501,-4.419,0.033,011xoKDagylY12ofOd3qUX
202,114.655,0.36,0.599,0.8,0.303,0.0,0.0822,-7.658,0.0341,012Dp2HH7Yd2Vn06icBFQv
203,139.041,0.218,0.541,0.953,0.262,0.000344,0.104,-9.798,0.0275,012hwrpv6RHD713nBVUyg7
204,78.084,0.0961,0.316,0.425,0.431,0.00616,0.158,-7.881,0.0299,012pvcJ7ANOyJglw2tXPWc
205,103.221,0.338,0.531,0.693,0.373,0.00462,0.108,-10.61,0.0247,013IXgOa1zzkXMPDX7hhdC
206,112.234,0.743,0.463,0.146,0.875,0.00103,0.297,-6.321,0.138,014RXVFKrGRSNXjwrNVVwI
207,199.956,0.184,0.307,0.00334,0.978,0.0,0.439,-3.679,0.316,014g5GZXFXDhT27dNwN1So
208,100.104,0.389,0.429,0.61,0.385,0.0,0.155,-7.693,0.0272,014kSxHtTvubc2tXAmEmxK
209,81.965,0.156,0.422,0.0489,0.769,0.0174,0.102,-4.301,0.0314,0158bI3P1oQXWMG3RE3KFu
210,120.026,0.595,0.858,0.181,0.659,0.0553,0.0939,-7.075,0.0474,015BCBzbTyaGy01VopJlR9
211,130.103,0.151,0.605,0.0073,0.615,2.8e-06,0.183,-6.506,0.0407,015EqyiziMvVVKWAc6XRwg
212,111.963,0.405,0.681,0.457,0.416,0.883,0.101,-10.705,0.0335,015HUIezeLr63jM8rZHNCn
213,150.037,0.912,0.84,0.326,0.755,0.000627,0.095,-5.716,0.0519,015bKqyOq3f9pAhpvQb9cV
214,145.977,0.157,0.407,0.355,0.335,0.0,0.145,-10.01,0.032,016DP00vwMNLR10fT8jQka
215,102.113,0.172,0.614,0.979,0.175,0.923,0.103,-18.861,0.0474,017dbEUVSuGK7YzU8CLb8S
216,177.952,0.852,0.527,0.015,0.981,0.0,0.211,-2.675,0.126,017qYDiQ3s9Yp5PZbdtPzr
217,130.046,0.534,0.755,0.0862,0.759,0.0,0.349,-5.259,0.0662,017qykiMjejqcpbUtmE1VS
218,189.97,0.147,0.577,0.618,0.555,0.866,0.116,-9.045,0.0598,018SQDupRTRsl1Wolu1X0c
219,136.002,0.772,0.651,0.00326,0.818,1.84e-05,0.109,-5.808,0.032,018YpDWBo5HaPmPPIOS6jE
220,93.02,0.871,0.618,0.216,0.745,0.0,0.13,-7.523,0.026,018ZhDj2b6ZUlsE8hddSQc
221,160.037,0.709,0.452,7.86e-05,0.925,0.432,0.249,-4.589,0.0874,018kZPz2oWpyJpIF1EBpe7
